month,region,product,units_sold,revenue
2024-01,North,Widget,120,3600
2024-01,South,Widget,90,2700
2024-01,East,Gadget,60,4200
2024-01,West,Gizmo,45,5400
2024-02,North,Widget,135,4050
2024-02,South,Gadget,80,5600
2024-02,East,Gadget,72,5040
2024-02,West,Gizmo,50,6000
2024-03,North,Gizmo,40,4800
2024-03,South,Widget,110,3300
2024-03,East,Widget,95,2850
2024-03,West,Gadget,88,6160
2024-04,North,Gadget,102,7140
2024-04,South,Gizmo,55,6600
2024-04,East,Widget,130,3900
2024-04,West,Widget,140,4200
2024-05,North,Widget,150,4500
2024-05,South,Gadget,120,8400
2024-05,East,Gizmo,60,7200
2024-05,West,Gadget,99,6930
2024-06,North,Gizmo,70,8400
2024-06,South,Widget,160,4800
2024-06,East,Gadget,115,8050
2024-06,West,Gizmo,80,9600
